,delta_active,delta_passive,theta_active,theta_passive,alpha_active,alpha_passive,beta_active,beta_passive,25_active,25_passive,gamma_active,gamma_passive
0,0.2314509986364909,0.39154260983599687,0.2955561603042646,0.38728589848342304,0.3490891698744487,0.3745131979088563,0.36011269197548357,0.35568064478644373,0.2937582918898942,0.2807003014358973,0.2635436464232341,0.2536826814849468
1,0.17851627261674904,0.3234376104735604,0.23557077245215724,0.3175988908242115,0.27970263675833607,0.30051567796666284,0.28152914517234573,0.2764425235641124,0.2012094475761294,0.191729627982515,0.17165634042342132,0.16496666149243128
2,0.12465799749178302,0.2433556734959257,0.17004567289095351,0.23523559083270223,0.19996825883818375,0.21317694038710186,0.1914286090842106,0.18562424059739532,0.11578556270378133,0.10997250690463713,0.09451844838501373,0.09065723199376224
3,0.07333328642613456,0.15467837329926837,0.10326540080182288,0.14570949707713796,0.11835854561429525,0.12417213024541227,0.10619683960306522,0.10150061965913772,0.05589689789814661,0.052973331923744836,0.044404451533636,0.04253385978069845
4,0.04476980592605805,0.09887527054396407,0.06415449463808495,0.09123350120434244,0.07188651104724958,0.07450674426562819,0.0619544953238701,0.05874971476715993,0.030603489142417534,0.028977525179908085,0.02405583979783218,0.0230300759527279
5,0.03216336000034607,0.07255938946409599,0.04644910436946556,0.06622920902171825,0.05143524221661512,0.05299836634791343,0.043538789544041175,0.04115235318928497,0.020986367152576124,0.019865179111173126,0.016433423319911277,0.015729633531886007
6,0.025048722611088883,0.057225509477647166,0.03634106671950651,0.05188841215259675,0.03995807218772071,0.041034618272165514,0.03348385704449653,0.03159374478462862,0.015931705027392648,0.015078241827252455,0.012450218943273148,0.011915856221189262
7,0.02047047134410964,0.04717273135700218,0.02979468695546636,0.04258278076258814,0.03260831164486064,0.03341599854689647,0.02714908151157133,0.0255896943096256,0.012812907400377329,0.012125448766823869,0.009999769670145818,0.009570030558605077
8,0.017271421049960215,0.04006388720918378,0.025202366926384282,0.036049406543546506,0.027493419027079993,0.028134505294751307,0.022787893882072963,0.021464354065642417,0.010693231532152228,0.010118940932343482,0.008337004446084803,0.007978419186341266
9,0.01163469679783124,0.02733669506213315,0.017063596617155403,0.024450804130069333,0.0185065324445381,0.01889254536123092,0.015215219143719299,0.014315433205261916,0.0070608325785322355,0.006680926445835007,0.005491469409357638,0.005254842244123231
