,section,idx_in_section_type,seg_half_seg_RA,L,seg,pseg,Section_L,Section_diam,Distance,p0_0,p0_1,p0_2,pc_0,pc_1,pc_2,p1_0,p1_1,p1_2,r,dl_0,dl_1,dl_2
0,soma,0,0.08127593365583971,23.169408032474415,L5PCtemplate[0].soma[0](0.5),None,23.169408032474415,13.471518345498081,0.0,34.16338348388672,17.62152671813965,-50.25,45.72555737919212,18.34367764312554,-50.25,57.2877311706543,19.06583023071289,-50.25,6.735759172749041,23.124347686767578,1.4443035125732422,0.0
1,dend,0,11.613729417292907,24.200878230108255,L5PCtemplate[0].dend[0](0.5),L5PCtemplate[0].soma[0](0.5),24.200878230108255,1.1517806365808367,12.100439115054128,56.40999984741211,20.229999542236328,-50.25,66.92914899005443,21.040890556098134,-51.99181295899292,74.66999816894531,18.979999542236328,-44.58000183105469,0.5758903182904184,18.259998321533203,-1.25,5.6699981689453125
2,dend,1,12.481000020580343,15.18219623504249,L5PCtemplate[0].dend[1](0.5),L5PCtemplate[0].dend[0](1),15.18219623504249,0.8799999952316285,31.7919763476295,74.66999816894531,18.979999542236328,-44.58000183105469,81.00648966731241,20.137203010401514,-40.64734058916545,86.41000366210938,19.889999389648438,-44.29999923706055,0.43999999761581426,11.740005493164062,0.9099998474121094,0.2800025939941406
3,dend,2,40.99883805087031,21.66443601853558,L5PCtemplate[0].dend[2](0.0714286),L5PCtemplate[0].dend[1](1),151.65105212974905,0.5799999833106996,50.21529247441853,86.41000366210938,19.889999389648438,-44.29999923706055,90.68109310166432,29.229827683917932,-42.19391230407633,97.42544735979735,34.349241806547205,-43.1910810443996,0.2899999916553498,11.01544369768797,14.459242416898768,1.1089181926609442
4,dend,2,40.998838050870326,21.66443601853558,L5PCtemplate[0].dend[2](0.214286),L5PCtemplate[0].dend[2](0.0714286),151.65105212974905,0.5799999833106996,71.87972849295411,97.42544735979735,34.349241806547205,-43.19108104439961,103.47719792105178,41.39457171262528,-39.099385907330294,109.92176797546763,46.80048772431553,-33.37136663591713,0.28999999165534973,12.496320615670285,12.451245917768325,9.819714408482483
5,dend,2,40.99883805087035,21.66443601853558,L5PCtemplate[0].dend[2](0.357143),L5PCtemplate[0].dend[2](0.214286),151.65105212974905,0.5799999833106996,93.5441645114897,109.92176797546763,46.80048772431553,-33.37136663591713,115.11090563347577,52.577835549956454,-28.797635514807432,122.76673793604624,57.95561983718879,-24.535223839099356,0.2899999916553497,12.84496996057861,11.155132112873261,8.836142796817771
6,dend,2,40.99883805087031,21.66443601853558,L5PCtemplate[0].dend[2](0.5),L5PCtemplate[0].dend[2](0.357143),151.65105212974905,0.5799999833106996,115.20860053002528,122.76673793604624,57.95561983718879,-24.535223839099356,125.21939230058078,65.34046927414586,-26.14069817628542,127.70492558458626,70.25539275113327,-32.284988123491246,0.2899999916553498,4.938187648540023,12.29977291394448,-7.74976428439189
7,dend,2,40.99883805087031,21.66443601853558,L5PCtemplate[0].dend[2](0.642857),L5PCtemplate[0].dend[2](0.5),151.65105212974905,0.5799999833106996,136.87303654856086,127.70492558458626,70.25539275113327,-32.284988123491246,130.8189012974796,79.84117382605022,-32.02159638486878,136.81999039184348,87.6842392660739,-33.23585113071626,0.2899999916553498,9.115064807257212,17.42884651494063,-0.950863007225017
8,dend,2,51.43373837869587,21.66443601853558,L5PCtemplate[0].dend[2](0.785714),L5PCtemplate[0].dend[2](0.642857),151.65105212974905,0.5799999833106996,158.53747256709642,136.81999039184348,87.68423926607389,-33.23585113071626,137.71599092912953,94.8901049506786,-27.656166181717186,139.34135828362542,101.78854205444216,-20.67577492280165,0.25891649182791393,2.5213678917819493,14.104302788368273,12.560076207914612
9,dend,2,163.99535220348125,21.66443601853558,L5PCtemplate[0].dend[2](0.928571),L5PCtemplate[0].dend[2](0.785714),151.65105212974905,0.5799999833106996,180.201908585632,139.34135828362542,101.78854205444216,-20.67577492280165,143.22418875027697,110.31343389661315,-18.872218238851246,148.27000427246094,116.37000274658203,-13.63000011444092,0.1449999958276749,8.928645988835513,14.58146069213987,7.045774808360731
10,dend,3,6.12913741245293,7.4556339070556366,L5PCtemplate[0].dend[3](0.5),L5PCtemplate[0].dend[1](1),7.4556339070556366,0.8799999952316284,43.11089141867856,86.41000366210938,19.889999389648438,-44.29999923706055,88.89659883772586,20.192550921333325,-41.53921560876127,92.54000091552734,20.209999084472656,-41.08000183105469,0.4399999976158142,6.129997253417969,0.31999969482421875,3.2199974060058594
11,dend,4,35.039004008990695,18.515165224051422,L5PCtemplate[0].dend[4](0.1),L5PCtemplate[0].dend[3](1),92.57582612025712,0.5799999833106997,56.0962909842321,92.54000091552734,20.209999084472656,-41.08000183105469,95.98879291842601,20.209999084472656,-32.56915378014576,98.76525766666091,18.175895219872107,-24.595957025357773,0.28999999165534973,6.225256751133571,-2.0341038646005494,16.484044805696914
12,dend,4,35.039004008990695,18.515165224051422,L5PCtemplate[0].dend[4](0.3),L5PCtemplate[0].dend[4](0.1),92.57582612025712,0.5799999833106997,74.61145620828351,98.76525766666091,18.175895219872107,-24.595957025357773,103.18100085495503,12.576820513800214,-19.318030874852496,107.64322567218152,11.942117126417477,-11.888117001748306,0.28999999165534973,8.8779680055206,-6.23377809345463,12.707840023609467
13,dend,4,35.03900400899066,18.515165224051422,L5PCtemplate[0].dend[4](0.5),L5PCtemplate[0].dend[4](0.3),92.57582612025712,0.5799999833106997,93.12662143233494,107.64322567218152,11.942117126417477,-11.888117001748306,109.87251669488073,9.45851070622819,-4.141230981002512,111.47749844118871,7.246364039699379,4.300964940215591,0.28999999165534984,3.8342727690071996,-4.695753086718098,16.1890819419639
14,dend,4,35.03900400899072,18.515165224051422,L5PCtemplate[0].dend[4](0.7),L5PCtemplate[0].dend[4](0.5),92.57582612025712,0.5799999833106997,111.64178665638636,111.47749844118871,7.246364039699384,4.300964940215579,114.61856283201458,1.0833233210494635,7.7630442123357,115.18694334022832,-7.861468820448236,8.865673445877567,0.2899999916553496,3.7094448990396103,-15.10783286014762,4.564708505661988
15,dend,4,48.08666949208733,18.515165224051422,L5PCtemplate[0].dend[4](0.9),L5PCtemplate[0].dend[4](0.7),92.57582612025712,0.5799999833106997,130.1569518804378,115.18694334022832,-7.861468820448236,8.865673445877567,119.26316569753855,-15.157278056340303,10.250037052663613,124.63999938964844,-17.89999961853027,15.149999618530273,0.24754919161390554,9.453056049420113,-10.038530798082034,6.284326172652706
16,dend,5,40.61272505605593,21.46040779066964,L5PCtemplate[0].dend[5](0.0555556),L5PCtemplate[0].dend[3](1),193.14367011602678,0.45123057689552576,57.56891226754121,92.54000091552734,20.209999084472656,-41.08000183105469,101.57712052669594,22.98484544947477,-43.86186876917624,110.97876769800467,20.53161026239638,-46.55347761805963,0.28999999165534973,18.43876678247733,0.3216111779237245,-5.4734757870049435
17,dend,5,40.61272505605593,21.46040779066964,L5PCtemplate[0].dend[5](0.166667),L5PCtemplate[0].dend[5](0.0555556),193.14367011602678,0.45123057689552576,79.02932005821084,110.97876769800467,20.53161026239638,-46.55347761805963,119.60129621359401,17.10792740462698,-50.16908940818479,126.55851159573444,10.912058126390743,-52.9660815411138,0.28999999165534973,15.57974389772977,-9.619552136005638,-6.412603923054171
18,dend,5,40.6127250560559,21.46040779066964,L5PCtemplate[0].dend[5](0.277778),L5PCtemplate[0].dend[5](0.166667),193.14367011602678,0.45123057689552576,100.48972784888049,126.55851159573444,10.912058126390743,-52.9660815411138,136.13566074472539,6.685821443089473,-54.794717717741705,145.1723284171729,2.5912111761651553,-57.58538001056791,0.28999999165534984,18.613816821438462,-8.320846950225588,-4.619298469454108
19,dend,5,40.612725056055965,21.46040779066964,L5PCtemplate[0].dend[5](0.388889),L5PCtemplate[0].dend[5](0.277778),193.14367011602678,0.45123057689552576,121.95013563955015,145.1723284171729,2.5912111761651553,-57.58538001056791,151.7645074462632,0.3301165134829476,-52.99595316135863,161.39309314251497,-2.906441920625708,-51.85007585230858,0.2899999916553496,16.220764725342065,-5.497653096790863,5.735304158259332
20,dend,5,67.09977296219823,21.46040779066964,L5PCtemplate[0].dend[5](0.5),L5PCtemplate[0].dend[5](0.388889),193.14367011602678,0.45123057689552576,143.41054343021978,161.39309314251497,-2.906441920625706,-51.850075852308585,169.9441807911023,-3.649640198150305,-46.03492113979502,178.80638836830383,-6.58146417723301,-50.05585112910461,0.22561528844776288,17.413295225788858,-3.675022256607304,1.7942247232039747
21,dend,5,162.45090022422366,21.46040779066964,L5PCtemplate[0].dend[5](0.611111),L5PCtemplate[0].dend[5](0.5),193.14367011602678,0.45123057689552576,164.87095122088942,178.80638836830383,-6.58146417723301,-50.05585112910461,188.95386814677488,-8.289999961853027,-51.119998931884766,197.48378363688076,-13.265409985645332,-54.38904267163216,0.1449999958276749,18.67739526857693,-6.683945808412322,-4.333191542527551
22,dend,5,162.45090022422403,21.46040779066964,L5PCtemplate[0].dend[5](0.722222),L5PCtemplate[0].dend[5](0.611111),193.14367011602678,0.45123057689552576,186.33135901155904,197.48378363688073,-13.265409985645322,-54.38904267163216,205.90514480467476,-16.223340175337675,-52.704152704502384,213.6818672313241,-19.77260072165949,-52.573267651075646,0.14499999582767473,16.198083594443375,-6.507190736014168,1.815775020556515
23,dend,5,162.4509002242236,21.46040779066964,L5PCtemplate[0].dend[5](0.833333),L5PCtemplate[0].dend[5](0.722222),193.14367011602678,0.45123057689552576,207.79176680222872,213.68186723132413,-19.772600721659497,-52.57326765107567,220.1227629402009,-24.591355127856104,-54.57218569561672,220.64892003427101,-34.45957867071963,-52.568638014900536,0.14499999582767492,6.967052802946881,-14.686977949060132,0.0046296361751316795
24,dend,5,162.4509002242236,21.46040779066964,L5PCtemplate[0].dend[5](0.944444),L5PCtemplate[0].dend[5](0.833333),193.14367011602678,0.45123057689552576,229.25217459289834,220.64892003427101,-34.4595786707196,-52.56863801490054,220.41968484416185,-43.13108639707682,-47.855932100136236,227.36000061035156,-49.59999847412109,-43.95000076293946,0.14499999582767492,6.711080576080548,-15.140419803401485,8.618637251961083
25,dend,6,36.03552122302679,19.041740718656108,L5PCtemplate[0].dend[6](0.0714286),L5PCtemplate[0].dend[0](1),133.29218503059275,0.5799999833106994,33.72174858943631,74.66999816894531,18.979999542236328,-44.58000183105469,79.21462984517761,20.16948579500573,-52.57172305421136,87.35616336179056,22.752222331213755,-52.543614224378025,0.28999999165534973,12.686165192845252,3.7722227889774267,-7.963612393323338
26,dend,6,80.12522397298054,19.041740718656108,L5PCtemplate[0].dend[6](0.214286),L5PCtemplate[0].dend[6](0.0714286),133.29218503059275,0.5799999833106994,52.76348930809242,87.35616336179055,22.752222331213755,-52.543614224378025,95.02029983152148,26.391733735282184,-54.349458395874805,104.05497639309074,27.73884684296517,-52.81005222299102,0.1944817085620591,16.69881303130019,4.986624511751415,-0.266437998612993
27,dend,6,55.5953857692922,19.041740718656108,L5PCtemplate[0].dend[6](0.357143),L5PCtemplate[0].dend[6](0.214286),133.29218503059275,0.5799999833106994,71.80523002674852,104.05497639309074,27.73884684296517,-52.81005222299102,112.72832676906933,27.017507255964016,-49.70000076293945,121.60327108756346,28.587491803474116,-48.90461167300881,0.23347695220879508,17.548294694472716,0.8486449605089454,3.9054405499822096
28,dend,6,36.035521223026805,19.041740718656108,L5PCtemplate[0].dend[6](0.5),L5PCtemplate[0].dend[6](0.357143),133.29218503059275,0.5799999833106994,90.84697074540463,121.60327108756346,28.587491803474116,-48.90461167300881,130.6736706529315,27.695816600068586,-47.33000183105469,139.49686149058093,28.950000762939453,-48.57021572445543,0.2899999916553497,17.89359040301747,0.36250895946533745,0.33439594855337873
