,delta_active,delta_passive,theta_active,theta_passive,alpha_active,alpha_passive,beta_active,beta_passive,25_active,25_passive,gamma_active,gamma_passive
0,1.0,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0,0.9999999999999997,1.0,1.0000000000000002,1.0,1.0
1,0.7712918659604511,0.8260598012794491,0.7970423360813909,0.8200631421590623,0.801235503407145,0.8024167897009549,0.781780679897592,0.7772211606568941,0.684948997632197,0.6830403351964328,0.6513393236874029,0.6502874399103205
2,0.5385934743257104,0.6215304985525297,0.5753413250324318,0.6073951872605323,0.572828595370355,0.5692107556620254,0.5315797342051002,0.5218845706626711,0.39415249169265937,0.39177908374904696,0.3586443826963798,0.35736468671449984
3,0.316841520918686,0.3950486343339684,0.34939349833045213,0.3762323845193521,0.3390496063136627,0.33155608651108603,0.29489890795155627,0.28537009575002387,0.19028194077019542,0.18871847181055565,0.16848993377865504,0.16766560307437609
4,0.19343103373847179,0.25252748502999306,0.21706363545946777,0.23557145137895458,0.20592592738727442,0.19894290690327168,0.17204196548587056,0.16517546183159376,0.10417914995872966,0.10323296780116072,0.09127839021852203,0.0907830042552372
5,0.13896401480151202,0.18531671302515074,0.15715830223822044,0.1710085734623076,0.14734127167312014,0.14151268004395245,0.12090323533224787,0.11570028842585312,0.07144093539474346,0.07077006689894733,0.062355604253574934,0.06200515320877114
6,0.10822473335027405,0.1461539767066907,0.12295824482932341,0.13397960616636737,0.11446379789465193,0.10956788305802759,0.09298160767623292,0.08882615696897977,0.05423406067926126,0.053716514553497303,0.047241582607834516,0.04697150058269287
7,0.08844408304437638,0.12047917690685352,0.10080888493338715,0.10995179770122926,0.0934096914452784,0.08922515610525632,0.07539051557066373,0.07194570377870867,0.04361717695846297,0.043197134825994916,0.03794350501657257,0.03772441422720042
8,0.07462236564848923,0.10232318578548859,0.08527099181569872,0.09308215632098343,0.07875758230187467,0.07512286736981236,0.06327989651535068,0.060347264829465036,0.036401462792274936,0.03604891366550354,0.03163424563343905,0.03145038967437238
9,0.050268509820103606,0.06981793137044143,0.05773385538501051,0.06313373202023749,0.05301376851992872,0.05044560636773264,0.04225127156794338,0.040247996102956686,0.02403619837624453,0.023800923660072065,0.020837039647461992,0.020714233282948996
10,0.43454945037001935,0.519470783177206,0.47111305953636773,0.5023266752862365,0.46444692087831424,0.458480425255438,0.4187669167734712,0.408367172567322,0.2899994139591773,0.28792434864121264,0.2602415534316473,0.259137862854969
11,0.30179127154643387,0.3784265368577945,0.3335520898298408,0.3596067164880206,0.32292745628289077,0.31537789026687324,0.2795388734670865,0.27024663417860184,0.17878129243922222,0.17728912086713144,0.15801484078970962,0.1572281718510751
12,0.19811485883133179,0.25831852734932453,0.222240661065909,0.24118492790155924,0.21104439522951943,0.20401200112590723,0.17655650241780432,0.1695661219879318,0.10694835409164014,0.10597663495234809,0.09363525954658193,0.09312532123340983
13,0.14726169937039751,0.19587434322946004,0.16640510011524423,0.1810482114989147,0.1562812907861935,0.15025210787515558,0.1285393330900533,0.12307282703436334,0.07602925703765559,0.07531542085245593,0.06630313888812199,0.06592917893864444
14,0.11701613189677275,0.15757442671267538,0.1328217664961245,0.14470711564284194,0.12386843856777166,0.11869651006838042,0.10085770350178756,0.0964014134238081,0.058864944189030585,0.05830281147510907,0.051222223703585305,0.05092798408818377
