Time	Vm
9.999999999996382485e+02	5.536196489768485662e-02
1.000099999999638158e+03	5.533582861328056879e-02
1.000199999999638067e+03	5.530972055896654638e-02
1.000299999999637976e+03	5.528379833343421978e-02
1.000399999999637885e+03	5.525861966161471628e-02
1.000499999999637794e+03	5.523558638847703151e-02
1.000599999999637703e+03	5.521751037169053689e-02
1.000699999999637612e+03	5.520918614126912871e-02
1.000799999999637521e+03	5.521784263288509464e-02
1.000899999999637430e+03	5.525337841000066419e-02
1.000999999999637339e+03	5.532834011282261599e-02
1.001099999999637248e+03	5.545765870583352353e-02
1.001199999999637157e+03	5.565819709796926418e-02
1.001299999999637066e+03	5.594818104134446912e-02
1.001399999999636975e+03	5.634658560131811100e-02
1.001499999999636884e+03	5.687253806871694906e-02
1.001599999999636793e+03	5.754478023676767862e-02
1.001699999999636702e+03	5.838121344930868872e-02
1.001799999999636611e+03	5.939853359004132471e-02
1.001899999999636520e+03	6.061195299544408499e-02
1.001999999999636429e+03	6.203500180266985353e-02
1.002099999999636339e+03	6.367940025825191697e-02
1.002199999999636248e+03	6.555499373459383605e-02
1.002299999999636157e+03	6.766974234717793024e-02
1.002399999999636066e+03	7.002975685576018350e-02
1.002499999999635975e+03	7.263937221634364505e-02
1.002599999999635884e+03	7.550125006218877388e-02
1.002699999999635793e+03	7.861650171699352541e-02
1.002799999999635702e+03	8.198482409152063610e-02
1.002899999999635611e+03	8.560464187281979775e-02
1.002999999999635520e+03	8.947325063006417167e-02
1.003099999999635429e+03	9.358695668817063051e-02
1.003199999999635338e+03	9.794121075725570336e-02
1.003299999999635247e+03	1.025307332892708700e-01
1.003399999999635156e+03	1.073496303403800312e-01
1.003499999999635065e+03	1.123914993486749836e-01
1.003599999999634974e+03	1.176495247093782837e-01
1.003699999999634883e+03	1.231165633669633053e-01
1.003799999999634792e+03	1.287852208723876402e-01
1.003899999999634701e+03	1.346479184970093002e-01
1.003999999999634611e+03	1.406969520747907154e-01
1.004099999999634520e+03	1.469245432780184046e-01
1.004199999999634429e+03	1.533228840325477904e-01
1.004299999999634338e+03	1.598841747579342609e-01
1.004399999999634247e+03	1.666006570825544486e-01
1.004499999999634156e+03	1.734646416409759695e-01
1.004599999999634065e+03	1.804685315132701362e-01
1.004699999999633974e+03	1.876048418176878840e-01
1.004799999999633883e+03	1.948662159202285693e-01
1.004899999999633792e+03	2.022454386787728708e-01
1.004999999999633701e+03	2.097354470962926598e-01
1.005099999999633610e+03	2.173293387175760927e-01
1.005199999999633519e+03	2.250203780670148035e-01
1.005299999999633428e+03	2.328020013914908759e-01
1.005399999999633337e+03	2.406678199420611008e-01
1.005499999999633246e+03	2.486116220005385458e-01
1.005599999999633155e+03	2.566273738327140563e-01
1.005699999999633064e+03	2.647092197278482217e-01
1.005799999999632973e+03	2.728514812645670418e-01
1.005899999999632882e+03	2.810486559256872852e-01
1.005999999999632792e+03	2.892954151691355946e-01
1.006099999999632701e+03	2.975866020484545516e-01
1.006199999999632610e+03	3.059172284640965245e-01
1.006299999999632519e+03	3.142824721160621948e-01
1.006399999999632428e+03	3.226776732190188568e-01
1.006499999999632337e+03	3.310983310326776063e-01
1.006599999999632246e+03	3.395401002527620449e-01
1.006699999999632155e+03	3.479987873018330902e-01
1.006799999999632064e+03	3.564703465530527637e-01
1.006899999999631973e+03	3.649508765154934053e-01
1.006999999999631882e+03	3.734366160051081351e-01
1.007099999999631791e+03	3.819239403216698747e-01
1.007199999999631700e+03	3.904093574486608986e-01
1.007299999999631609e+03	3.988895042905085120e-01
1.007399999999631518e+03	4.073611429586492250e-01
1.007499999999631427e+03	4.158211571161416487e-01
1.007599999999631336e+03	4.242665483885446065e-01
1.007699999999631245e+03	4.326944328469721768e-01
1.007799999999631154e+03	4.411020375683278871e-01
1.007899999999631063e+03	4.494866972758870816e-01
1.007999999999630973e+03	4.578458510632259504e-01
1.008099999999630882e+03	4.661770392026198806e-01
1.008199999999630791e+03	4.744779000393180013e-01
1.008299999999630700e+03	4.827461669717081350e-01
1.008399999999630609e+03	4.909796655172584678e-01
1.008499999999630518e+03	4.991763104637243487e-01
1.008599999999630427e+03	5.073341031044265037e-01
1.008699999999630336e+03	5.154511285564495893e-01
1.008799999999630245e+03	5.235255531603115742e-01
1.008899999999630154e+03	5.315556219592849629e-01
1.008999999999630063e+03	5.395396562566077137e-01
1.009099999999629972e+03	5.474760512485943309e-01
1.009199999999629881e+03	5.553632737317144574e-01
1.009299999999629790e+03	5.631998598814362822e-01
1.009399999999629699e+03	5.709844131008168233e-01
1.009499999999629608e+03	5.787156019367074578e-01
1.009599999999629517e+03	5.863921580614288587e-01
1.009699999999629426e+03	5.940128743178405557e-01
1.009799999999629335e+03	6.015766028256734899e-01
1.009899999999629244e+03	6.090822531471360435e-01
1.009999999999629154e+03	6.165287905098040255e-01
1.010099999999629063e+03	6.239152340848050926e-01
1.010199999999628972e+03	6.312406553183080860e-01
1.010299999999628881e+03	6.385041763146261928e-01
1.010399999999628790e+03	6.457049682690723102e-01
1.010499999999628699e+03	6.528422499487191999e-01
1.010599999999628608e+03	6.599152862195012403e-01
1.010699999999628517e+03	6.669233866180377390e-01
1.010799999999628426e+03	6.738659039665009232e-01
1.010899999999628335e+03	6.807422330291359458e-01
1.010999999999628244e+03	6.875518092088839239e-01
1.011099999999628153e+03	6.942941072827579774e-01
1.011199999999628062e+03	7.009686401746364481e-01
1.011299999999627971e+03	7.075749577641090582e-01
1.011399999999627880e+03	7.141126457302249264e-01
1.011499999999627789e+03	7.205813244289629438e-01
1.011599999999627698e+03	7.269806478030886865e-01
1.011699999999627607e+03	7.333103023235167939e-01
1.011799999999627516e+03	7.395700059610987864e-01
1.011899999999627425e+03	7.457595071876710335e-01
1.011999999999627335e+03	7.518785840055812741e-01
1.012099999999627244e+03	7.579270430045710327e-01
1.012199999999627153e+03	7.639047184453744421e-01
1.012299999999627062e+03	7.698114713688966049e-01
1.012399999999626971e+03	7.756471887303746371e-01
1.012499999999626880e+03	7.814117825575550569e-01
1.012599999999626789e+03	7.871051891323332939e-01
1.012699999999626698e+03	7.927273681948747708e-01
1.012799999999626607e+03	7.982783021698054426e-01
1.012899999999626516e+03	8.037579954135338767e-01
1.012999999999626425e+03	8.091664734821932825e-01
1.013099999999626334e+03	8.145037824196776910e-01
1.013199999999626243e+03	8.197699880649338411e-01
1.013299999999626152e+03	8.249651753781535035e-01
1.013399999999626061e+03	8.300894477851699094e-01
1.013499999999625970e+03	8.351429265397030122e-01
1.013599999999625879e+03	8.401257501026861974e-01
1.013699999999625788e+03	8.450380735384470654e-01
1.013799999999625697e+03	8.498800679270317460e-01
1.013899999999625607e+03	8.546519197924737909e-01
1.013999999999625516e+03	8.593538305463113147e-01
1.014099999999625425e+03	8.639860159460397426e-01
1.014199999999625334e+03	8.685487055681733182e-01
1.014299999999625243e+03	8.730421422953611454e-01
1.014399999999625152e+03	8.774665818172593390e-01
1.014499999999625061e+03	8.818222921448182205e-01
1.014599999999624970e+03	8.861095531375440260e-01
1.014699999999624879e+03	8.903286560434224839e-01
1.014799999999624788e+03	8.944799030512484705e-01
1.014899999999624697e+03	8.985636068548501498e-01
1.014999999999624606e+03	9.025800902291791772e-01
1.015099999999624515e+03	9.065296856175848461e-01
1.015199999999624424e+03	9.104127347304000750e-01
1.015299999999624333e+03	9.142295881541713243e-01
1.015399999999624242e+03	9.179806049715608651e-01
1.015499999999624151e+03	9.216661523914098098e-01
1.015599999999624060e+03	9.252866053888766373e-01
1.015699999999623969e+03	9.288423463553101556e-01
1.015799999999623878e+03	9.323337647576295240e-01
1.015899999999623788e+03	9.357612568070265979e-01
1.015999999999623697e+03	9.391252251365926895e-01
1.016099999999623606e+03	9.424260784879265884e-01
1.016199999999623515e+03	9.456642314061980414e-01
1.016299999999623424e+03	9.488401039436524798e-01
1.016399999999623333e+03	9.519541213713296202e-01
1.016499999999623242e+03	9.550067138987117232e-01
1.016599999999623151e+03	9.579983164011167673e-01
1.016699999999623060e+03	9.609293681548365385e-01
1.016799999999622969e+03	9.638003125794938342e-01
1.016899999999622878e+03	9.666115969877324687e-01
1.016999999999622787e+03	9.693636723209522188e-01
1.017099999999622696e+03	9.720569928087599010e-01
1.017199999999622605e+03	9.746920154657345847e-01
1.017299999999622514e+03	9.772691993623112694e-01
1.017399999999622423e+03	9.797890046690440613e-01
1.017499999999622332e+03	9.822518915427878028e-01
1.017599999999622241e+03	9.846583189672344361e-01
1.017699999999622150e+03	9.870087436684400473e-01
1.017799999999622059e+03	9.893036192035253862e-01
1.017899999999621969e+03	9.915433952833865305e-01
1.017999999999621878e+03	9.937285173504903923e-01
1.018099999999621787e+03	9.958594264006705998e-01
1.018199999999621696e+03	9.979365590165798494e-01
1.018299999999621605e+03	9.999603475695977295e-01
1.018399999999621514e+03	1.001931220544335588e+00
1.018499999999621423e+03	1.003849602943247987e+00
1.018599999999621332e+03	1.005715916734558846e+00
