Time	Vm
9.999999999996382485e+02	5.536196489768485662e-02
1.000099999999638158e+03	5.533582861328056879e-02
1.000199999999638067e+03	5.530972529393807235e-02
1.000299999999637976e+03	5.528384392727048180e-02
1.000399999999637885e+03	5.525885320325585326e-02
1.000499999999637794e+03	5.523643355644480835e-02
1.000599999999637703e+03	5.521995494578391117e-02
1.000699999999637612e+03	5.521516223720368544e-02
1.000799999999637521e+03	5.523071515041522161e-02
1.000899999999637430e+03	5.527846838252514772e-02
1.000999999999637339e+03	5.537344393711407520e-02
1.001099999999637248e+03	5.553351342757650855e-02
1.001199999999637157e+03	5.577885480988697964e-02
1.001299999999637066e+03	5.613126986564509480e-02
1.001399999999636975e+03	5.661344910670607078e-02
1.001499999999636884e+03	5.724825698872848534e-02
1.001599999999636793e+03	5.805808875747686670e-02
1.001699999999636702e+03	5.906432685125651005e-02
1.001799999999636611e+03	6.028690533715064248e-02
1.001899999999636520e+03	6.174397865991920753e-02
1.001999999999636429e+03	6.345168562774006205e-02
1.002099999999636339e+03	6.542399837753976044e-02
1.002199999999636248e+03	6.767264633454317391e-02
1.002299999999636157e+03	7.020710537219088110e-02
1.002399999999636066e+03	7.303464215164012785e-02
1.002499999999635975e+03	7.616040326942652428e-02
1.002599999999635884e+03	7.958753876022228724e-02
1.002699999999635793e+03	8.331734991205053120e-02
1.002799999999635702e+03	8.734945226025558895e-02
1.002899999999635611e+03	9.168194590232303653e-02
1.002999999999635520e+03	9.631158673255413305e-02
1.003099999999635429e+03	1.012339536657123062e-01
1.003199999999635338e+03	1.064436082761091029e-01
1.003299999999635247e+03	1.119342444531952196e-01
1.003399999999635156e+03	1.176988266364134006e-01
1.003499999999635065e+03	1.237297159431847149e-01
1.003599999999634974e+03	1.300187840658963978e-01
1.003699999999634883e+03	1.365575152141360604e-01
1.003799999999634792e+03	1.433370966486791076e-01
1.003899999999634701e+03	1.503484985235843396e-01
1.003999999999634611e+03	1.575825438459617089e-01
1.004099999999634520e+03	1.650299694014591978e-01
1.004199999999634429e+03	1.726814784935584157e-01
1.004299999999634338e+03	1.805277863184926446e-01
1.004399999999634247e+03	1.885596587548832304e-01
1.004499999999634156e+03	1.967679452948800645e-01
1.004599999999634065e+03	2.051436067866774238e-01
1.004699999999633974e+03	2.136777385996992962e-01
1.004799999999633883e+03	2.223615897662654106e-01
1.004899999999633792e+03	2.311865785986526589e-01
1.004999999999633701e+03	2.401443052282985491e-01
1.005099999999633610e+03	2.492265614664432860e-01
1.005199999999633519e+03	2.584253383406007742e-01
1.005299999999633428e+03	2.677328316218279269e-01
1.005399999999633337e+03	2.771414456207708099e-01
1.005499999999633246e+03	2.866437954982501424e-01
1.005599999999633155e+03	2.962327083062916699e-01
1.005699999999633064e+03	3.059012229496147484e-01
1.005799999999632973e+03	3.156425892340166683e-01
1.005899999999632882e+03	3.254502661472571390e-01
1.005999999999632792e+03	3.353179194997011336e-01
1.006099999999632701e+03	3.452394190355505543e-01
1.006199999999632610e+03	3.552088351110143094e-01
1.006299999999632519e+03	3.652204350229055763e-01
1.006399999999632428e+03	3.752686790603121381e-01
1.006499999999632337e+03	3.853482163413701755e-01
1.006599999999632246e+03	3.954538804892848702e-01
1.006699999999632155e+03	4.055806851932999280e-01
1.006799999999632064e+03	4.157238196942643071e-01
1.006899999999631973e+03	4.258786442282485041e-01
1.006999999999631882e+03	4.360406854564615742e-01
1.007099999999631791e+03	4.462056319055704989e-01
1.007199999999631700e+03	4.563693294383881494e-01
1.007299999999631609e+03	4.665277767714854917e-01
1.007399999999631518e+03	4.766771210534699321e-01
1.007499999999631427e+03	4.868136535151847966e-01
1.007599999999631336e+03	4.969338052005838335e-01
1.007699999999631245e+03	5.070341427854856420e-01
1.007799999999631154e+03	5.171113644896365713e-01
1.007899999999631063e+03	5.271622960859332352e-01
1.007999999999630973e+03	5.371838870099310270e-01
1.008099999999630882e+03	5.471732065712728854e-01
1.008199999999630791e+03	5.571274402679478044e-01
1.008299999999630700e+03	5.670438862039048900e-01
1.008399999999630609e+03	5.769199516094118962e-01
1.008499999999630518e+03	5.867531494633766442e-01
1.008599999999630427e+03	5.965410952164518221e-01
1.008699999999630336e+03	6.062815036131894431e-01
1.008799999999630245e+03	6.159721856114686034e-01
1.008899999999630154e+03	6.256110453970222807e-01
1.008999999999630063e+03	6.351960774909741758e-01
1.009099999999629972e+03	6.447253639477139586e-01
1.009199999999629881e+03	6.541970716410219211e-01
1.009299999999629790e+03	6.636094496356150785e-01
1.009399999999629699e+03	6.729608266416562401e-01
1.009499999999629608e+03	6.822496085497675722e-01
1.009599999999629517e+03	6.914742760438485902e-01
1.009699999999629426e+03	7.006333822892543139e-01
1.009799999999629335e+03	7.097255506936761549e-01
1.009899999999629244e+03	7.187494727385796978e-01
1.009999999999629154e+03	7.277039058784282588e-01
1.010099999999629063e+03	7.365876715055463819e-01
1.010199999999628972e+03	7.453996529783779579e-01
1.010299999999628881e+03	7.541387937107089101e-01
1.010399999999628790e+03	7.628040953199359819e-01
1.010499999999628699e+03	7.713946158320936775e-01
1.010599999999628608e+03	7.799094679417777343e-01
1.010699999999628517e+03	7.883478173249329757e-01
1.010799999999628426e+03	7.967088810026865531e-01
1.010899999999628335e+03	8.049919257542939022e-01
1.010999999999628244e+03	8.131962665776910626e-01
1.011099999999628153e+03	8.213212651958059496e-01
1.011199999999628062e+03	8.293663286070085405e-01
1.011299999999627971e+03	8.373309076782788907e-01
1.011399999999627880e+03	8.452144957796008384e-01
1.011499999999627789e+03	8.530166274580182062e-01
1.011599999999627698e+03	8.607368771501739957e-01
1.011699999999627607e+03	8.683748579319114924e-01
1.011799999999627516e+03	8.759302203037719892e-01
1.011899999999627425e+03	8.834026510110533081e-01
1.011999999999627335e+03	8.907918718974343619e-01
1.012099999999627244e+03	8.980976387910146741e-01
1.012199999999627153e+03	9.053197404215751476e-01
1.012299999999627062e+03	9.124579973683211165e-01
1.012399999999626971e+03	9.195122610368002825e-01
1.012499999999626880e+03	9.264824126643986801e-01
1.012599999999626789e+03	9.333683623532351703e-01
1.012699999999626698e+03	9.401700481297439183e-01
1.012799999999626607e+03	9.468874350301490495e-01
1.012899999999626516e+03	9.535205142109219878e-01
1.012999999999626425e+03	9.600693020834825120e-01
1.013099999999626334e+03	9.665338394725324633e-01
1.013199999999626243e+03	9.729141907972120862e-01
1.013299999999626152e+03	9.792104432743400366e-01
1.013399999999626061e+03	9.854227061433249446e-01
1.013499999999625970e+03	9.915511099117964022e-01
1.013599999999625879e+03	9.975958056216569503e-01
1.013699999999625788e+03	1.003556964134787677e+00
1.013799999999625697e+03	1.009434775437881626e+00
1.013899999999625607e+03	1.015229447965992904e+00
1.013999999999625516e+03	1.020941207943977247e+00
1.014099999999625425e+03	1.026570298745795640e+00
1.014199999999625334e+03	1.032116980270657791e+00
1.014299999999625243e+03	1.037581528335991266e+00
1.014399999999625152e+03	1.042964234086525721e+00
1.014499999999625061e+03	1.048265403419136987e+00
1.014599999999624970e+03	1.053485356423038866e+00
1.014699999999624879e+03	1.058624426834896326e+00
1.014799999999624788e+03	1.063682961508476410e+00
1.014899999999624697e+03	1.068661319898438933e+00
1.014999999999624606e+03	1.073559873557940136e+00
1.015099999999624515e+03	1.078379005649637179e+00
1.015199999999624424e+03	1.083119110469780821e+00
1.015299999999624333e+03	1.087780592985055250e+00
1.015399999999624242e+03	1.092363868381866610e+00
1.015499999999624151e+03	1.096869361627668127e+00
1.015599999999624060e+03	1.101297507044193935e+00
1.015699999999623969e+03	1.105648747892075789e+00
1.015799999999623878e+03	1.109923535966771624e+00
1.015899999999623788e+03	1.114122331205379623e+00
1.015999999999623697e+03	1.118245601304153070e+00
1.016099999999623606e+03	1.122293821346374898e+00
1.016199999999623515e+03	1.126267473440393019e+00
1.016299999999623424e+03	1.130167046367560602e+00
1.016399999999623333e+03	1.133993035239839742e+00
1.016499999999623242e+03	1.137745941166770081e+00
1.016599999999623151e+03	1.141426270931660270e+00
1.016699999999623060e+03	1.145034536676760695e+00
1.016799999999622969e+03	1.148571255597161667e+00
1.016899999999622878e+03	1.152036949643147068e+00
1.016999999999622787e+03	1.155432145205125494e+00
1.017099999999622696e+03	1.158757372703917099e+00
1.017199999999622605e+03	1.162013165979956852e+00
1.017299999999622514e+03	1.165200061403055543e+00
1.017399999999622423e+03	1.168318596701993783e+00
1.017499999999622332e+03	1.171369309598134123e+00
1.017599999999622241e+03	1.174352736381919726e+00
1.017699999999622150e+03	1.177269410581118336e+00
1.017799999999622059e+03	1.180119861842356954e+00
1.017899999999621969e+03	1.182904615100895285e+00
1.017999999999621878e+03	1.185624190065027506e+00
1.018099999999621787e+03	1.188279101001612048e+00
1.018199999999621696e+03	1.190869856782953207e+00
1.018299999999621605e+03	1.193396961141601764e+00
1.018399999999621514e+03	1.195860913076813858e+00
1.018499999999621423e+03	1.198262207359888976e+00
1.018599999999621332e+03	1.200601335093423927e+00
