Time	Vm
9.999999999996382485e+02	5.536196489768485662e-02
1.000099999999638158e+03	5.533582861328056879e-02
1.000199999999638067e+03	5.530972936482214664e-02
1.000299999999637976e+03	5.528388290450436671e-02
1.000399999999637885e+03	5.525905163489142069e-02
1.000499999999637794e+03	5.523714864744988517e-02
1.000599999999637703e+03	5.522200394108267574e-02
1.000699999999637612e+03	5.522013388277002832e-02
1.000799999999637521e+03	5.524133916759410567e-02
1.000899999999637430e+03	5.529900200751569628e-02
1.000999999999637339e+03	5.541003009173550709e-02
1.001099999999637248e+03	5.559447028956299164e-02
1.001199999999637157e+03	5.587486814648912059e-02
1.001299999999637066e+03	5.627547355443596189e-02
1.001399999999636975e+03	5.682139257037022162e-02
1.001499999999636884e+03	5.753776883692296451e-02
1.001599999999636793e+03	5.844905278560474926e-02
1.001699999999636702e+03	5.957838961951722467e-02
1.001799999999636611e+03	6.094713462533718484e-02
1.001899999999636520e+03	6.257449040323592726e-02
1.001999999999636429e+03	6.447725460643027873e-02
1.002099999999636339e+03	6.666966561598997032e-02
1.002199999999636248e+03	6.916333407326646920e-02
1.002299999999636157e+03	7.196724856797231951e-02
1.002399999999636066e+03	7.508784364424059277e-02
1.002499999999635975e+03	7.852911798394757170e-02
1.002599999999635884e+03	8.229279061443151022e-02
1.002699999999635793e+03	8.637848352681487540e-02
1.002799999999635702e+03	9.078392019108605382e-02
1.002899999999635611e+03	9.550513096490931275e-02
1.002999999999635520e+03	1.005366581019160321e-01
1.003099999999635429e+03	1.058717547787892954e-01
1.003199999999635338e+03	1.115025741372193124e-01
1.003299999999635247e+03	1.174203456951659064e-01
1.003399999999635156e+03	1.236155375904530729e-01
1.003499999999635065e+03	1.300780039819642298e-01
1.003599999999634974e+03	1.367971175751279134e-01
1.003699999999634883e+03	1.437618876922641675e-01
1.003799999999634792e+03	1.509610646116783528e-01
1.003899999999634701e+03	1.583832310858355186e-01
1.003999999999634611e+03	1.660168820483676200e-01
1.004099999999634520e+03	1.738504935555056363e-01
1.004199999999634429e+03	1.818725819995989923e-01
1.004299999999634338e+03	1.900717545950953991e-01
1.004399999999634247e+03	1.984367520817187369e-01
1.004499999999634156e+03	2.069564845230615902e-01
1.004599999999634065e+03	2.156200610077974034e-01
1.004699999999633974e+03	2.244168139888671476e-01
1.004799999999633883e+03	2.333363189250974301e-01
1.004899999999633792e+03	2.423684098228733319e-01
1.004999999999633701e+03	2.515031912119951585e-01
1.005099999999633610e+03	2.607310470321948515e-01
1.005199999999633519e+03	2.700426468526870849e-01
1.005299999999633428e+03	2.794289497992252791e-01
1.005399999999633337e+03	2.888812065186527889e-01
1.005499999999633246e+03	2.983909594721012581e-01
1.005599999999633155e+03	3.079500418121483563e-01
1.005699999999633064e+03	3.175505750681395511e-01
1.005799999999632973e+03	3.271849658353147561e-01
1.005899999999632882e+03	3.368459016390801253e-01
1.005999999999632792e+03	3.465263461229568520e-01
1.006099999999632701e+03	3.562195336897957532e-01
1.006199999999632610e+03	3.659189637082107538e-01
1.006299999999632519e+03	3.756183943810498249e-01
1.006399999999632428e+03	3.853118363595342544e-01
1.006499999999632337e+03	3.949935461744757959e-01
1.006599999999632246e+03	4.046580195461189078e-01
1.006699999999632155e+03	4.142999846247903406e-01
1.006799999999632064e+03	4.239143952067223609e-01
1.006899999999631973e+03	4.334964239624952143e-01
1.006999999999631882e+03	4.430414557095048167e-01
1.007099999999631791e+03	4.525450807544757481e-01
1.007199999999631700e+03	4.620030883278190004e-01
1.007299999999631609e+03	4.714114601272143545e-01
1.007399999999631518e+03	4.807663639846992965e-01
1.007499999999631427e+03	4.900641476685052567e-01
1.007599999999631336e+03	4.993013328283666397e-01
1.007699999999631245e+03	5.084746090906122618e-01
1.007799999999631154e+03	5.175808283078993099e-01
1.007899999999631063e+03	5.266169989665456797e-01
1.007999999999630973e+03	5.355802807530807286e-01
1.008099999999630882e+03	5.444679792806539353e-01
1.008199999999630791e+03	5.532775409749319806e-01
1.008299999999630700e+03	5.620065481181200084e-01
1.008399999999630609e+03	5.706527140494870309e-01
1.008499999999630518e+03	5.792138785197664674e-01
1.008599999999630427e+03	5.876880031967601781e-01
1.008699999999630336e+03	5.960731673188632840e-01
1.008799999999630245e+03	6.043675634932128560e-01
1.008899999999630154e+03	6.125694936345809083e-01
1.008999999999630063e+03	6.206773650413595078e-01
1.009099999999629972e+03	6.286896866048152788e-01
1.009199999999629881e+03	6.366050651473358357e-01
1.009299999999629790e+03	6.444222018860727985e-01
1.009399999999629699e+03	6.521398890177039220e-01
1.009499999999629608e+03	6.597570064204063556e-01
1.009599999999629517e+03	6.672725184692325229e-01
1.009699999999629426e+03	6.746854709608811618e-01
1.009799999999629335e+03	6.819949881442255446e-01
1.009899999999629244e+03	6.892002698527193161e-01
1.009999999999629154e+03	6.963005887351840784e-01
1.010099999999629063e+03	7.032952875815396965e-01
1.010199999999628972e+03	7.101837767398109236e-01
1.010299999999628881e+03	7.169655316213976448e-01
1.010399999999628790e+03	7.236400902911555022e-01
1.010499999999628699e+03	7.302070511394305186e-01
1.010599999999628608e+03	7.366660706327934349e-01
1.010699999999628517e+03	7.430168611408589641e-01
1.010799999999628426e+03	7.492591888362625241e-01
1.010899999999628335e+03	7.553928716650943898e-01
1.010999999999628244e+03	7.614177773853612052e-01
1.011099999999628153e+03	7.673338216708742721e-01
1.011199999999628062e+03	7.731409662782766645e-01
1.011299999999627971e+03	7.788392172748928033e-01
1.011399999999627880e+03	7.844286233251267504e-01
1.011499999999627789e+03	7.899092740335049712e-01
1.011599999999627698e+03	7.952812983421324589e-01
1.011699999999627607e+03	8.005448629807574434e-01
1.011799999999627516e+03	8.057001709675688517e-01
1.011899999999627425e+03	8.107474601587938423e-01
1.011999999999627335e+03	8.156870018457169635e-01
1.012099999999627244e+03	8.205190993969893043e-01
1.012199999999627153e+03	8.252440869452044581e-01
1.012299999999627062e+03	8.298623281156949361e-01
1.012399999999626971e+03	8.343742147965258482e-01
1.012499999999626880e+03	8.387801659479947602e-01
1.012599999999626789e+03	8.430806264504582259e-01
1.012699999999626698e+03	8.472760659891633850e-01
1.012799999999626607e+03	8.513669779748056499e-01
1.012899999999626516e+03	8.553538784986045584e-01
1.012999999999626425e+03	8.592373053209314548e-01
1.013099999999626334e+03	8.630178168921247561e-01
1.013199999999626243e+03	8.666959914046685753e-01
1.013299999999626152e+03	8.702724258755836217e-01
1.013399999999626061e+03	8.737477352580782508e-01
1.013499999999625970e+03	8.771225515816070128e-01
1.013599999999625879e+03	8.803975231192566753e-01
1.013699999999625788e+03	8.835733135818060191e-01
1.013799999999625697e+03	8.866506013374362283e-01
1.013899999999625607e+03	8.896300786563955398e-01
1.013999999999625516e+03	8.925124509797086603e-01
1.014099999999625425e+03	8.952984362114193573e-01
1.014199999999625334e+03	8.979887640333998888e-01
1.014299999999625243e+03	9.005841752421019919e-01
1.014399999999625152e+03	9.030854211066809967e-01
1.014499999999625061e+03	9.054932627476546259e-01
1.014599999999624970e+03	9.078084705356985751e-01
1.014699999999624879e+03	9.100318235097262232e-01
1.014799999999624788e+03	9.121641088138545683e-01
1.014899999999624697e+03	9.142061211526311126e-01
1.014999999999624606e+03	9.161586622639106281e-01
1.015099999999624515e+03	9.180225404089696895e-01
1.015199999999624424e+03	9.197985698792763287e-01
1.015299999999624333e+03	9.214875705194316424e-01
1.015399999999624242e+03	9.230903672657433390e-01
1.015499999999624151e+03	9.246077897001612200e-01
1.015599999999624060e+03	9.260406716189066856e-01
1.015699999999623969e+03	9.273898506154409915e-01
1.015799999999623878e+03	9.286561676774738316e-01
1.015899999999623788e+03	9.298404667973443338e-01
1.015999999999623697e+03	9.309435945956749947e-01
1.016099999999623606e+03	9.319663999577016966e-01
1.016199999999623515e+03	9.329097336819813790e-01
1.016299999999623424e+03	9.337744481411789366e-01
1.016399999999623333e+03	9.345613969544217525e-01
1.016499999999623242e+03	9.352714346711508142e-01
1.016599999999623151e+03	9.359054164658147101e-01
1.016699999999623060e+03	9.364641978433780878e-01
1.016799999999622969e+03	9.369486343551471919e-01
1.016899999999622878e+03	9.373595813246993202e-01
1.016999999999622787e+03	9.376978935836461915e-01
1.017099999999622696e+03	9.379644252168617413e-01
1.017199999999622605e+03	9.381600293169469751e-01
1.017299999999622514e+03	9.382855577477471343e-01
1.017399999999622423e+03	9.383418609164664304e-01
1.017499999999622332e+03	9.383297875544229782e-01
1.017599999999622241e+03	9.382501845057902301e-01
1.017699999999622150e+03	9.381038965246091266e-01
1.017799999999622059e+03	9.378917660792751576e-01
1.017899999999621969e+03	9.376146331648129717e-01
1.017999999999621878e+03	9.372733351223132559e-01
1.018099999999621787e+03	9.368687064655034646e-01
1.018199999999621696e+03	9.364015787142960789e-01
1.018299999999621605e+03	9.358727802349307012e-01
1.018399999999621514e+03	9.352831360867526200e-01
1.018499999999621423e+03	9.346334678751873071e-01
1.018599999999621332e+03	9.339245936109534796e-01
