expected_control	peaks_control	expected_ampa	peaks_ampa
2.879659095124938784e+00	3.107236722876720592e+00	2.019147686842075462e+00	1.955654714201926936e+00
2.922639081619340828e+00	3.161909207652570331e+00	2.049284219481509517e+00	1.982360130123126396e+00
2.965619068113742873e+00	3.217054939489699450e+00	2.079420752120943572e+00	2.008991619797441786e+00
3.008599054608144918e+00	3.272708481814063930e+00	2.109557284760377627e+00	2.035549997874170458e+00
3.051579041102546963e+00	3.328889594416153841e+00	2.139693817399811682e+00	2.062036081234367657e+00
3.094559027596949008e+00	3.385619438392282632e+00	2.169830350039245292e+00	2.088450688989240689e+00
3.137539014091351497e+00	3.442927114225369678e+00	2.199966882678679347e+00	2.114794642478670994e+00
3.180519000585753542e+00	3.500843656918632973e+00	2.230103415318113402e+00	2.141068765269778851e+00
3.223498987080155587e+00	3.559402197990920058e+00	2.260239947957547457e+00	2.167273883155658609e+00
3.266478973574557632e+00	3.618638144448311778e+00	2.290376480596981512e+00	2.193410824154170768e+00
3.309458960068959676e+00	3.678589376750196038e+00	2.320513013236415123e+00	2.219480418506663000e+00
3.352438946563361721e+00	3.739296468046660493e+00	2.350649545875849178e+00	2.245483498676847489e+00
3.395418933057763766e+00	3.800802927254025576e+00	2.380786078515283233e+00	2.271420899349422484e+00
3.438398919552165811e+00	3.863155468860824726e+00	2.410922611154717288e+00	2.297293457428921215e+00
3.481378906046567856e+00	3.926404312717991729e+00	2.441059143794151343e+00	2.323102012038049224e+00
3.524358892540969901e+00	3.990610977823678240e+00	2.471195676433584953e+00	2.348847404516263282e+00
3.567338879035371946e+00	4.055846952779646131e+00	2.501332209073019008e+00	2.374530478417923973e+00
3.610318865529773991e+00	4.122160429321922948e+00	2.531468741712453063e+00	2.400152079510334602e+00
3.653298852024176036e+00	4.189623078947391832e+00	2.561605274351887118e+00	2.425713055771339555e+00
3.696278838518578080e+00	4.258349919960537022e+00	2.591741806991321173e+00	2.451214257386894246e+00
3.739258825012980125e+00	4.328385347849959430e+00	2.621878339630754784e+00	2.476656536748052417e+00
3.782238811507382614e+00	4.399877562927557051e+00	2.652014872270188839e+00	2.502040748447498686e+00
3.825218798001784659e+00	4.472898490493676604e+00	2.682151404909622894e+00	2.527367749275924780e+00
3.868198784496186704e+00	4.547585106179084846e+00	2.712287937549056949e+00	2.552641504288331475e+00
3.911178770990588749e+00	4.624096163119205016e+00	2.742424470188491004e+00	2.577864413655078124e+00
3.954158757484990794e+00	4.702570546884601299e+00	2.772561002827924614e+00	2.603032909531748373e+00
3.997138743979392839e+00	4.783188524529435881e+00	2.802697535467358669e+00	2.628147860598062380e+00
4.040118730473794884e+00	4.866163682004696511e+00	2.832834068106792724e+00	2.653210137785990241e+00
4.083098716968196484e+00	4.951733725691582322e+00	2.862970600746226779e+00	2.678220614273598699e+00
4.126078703462598973e+00	5.040146442991002118e+00	2.893107133385660390e+00	2.703180165477832020e+00
4.169058689957001462e+00	5.131746017989613051e+00	2.923243666025094445e+00	2.728089669046667609e+00
4.212038676451403063e+00	5.226888607679001097e+00	2.953380198664528500e+00	2.752950004849935794e+00
4.255018662945805552e+00	5.326016288276719024e+00	2.983516731303962555e+00	2.777762054969429073e+00
4.297998649440207153e+00	5.429654475105465394e+00	3.013653263943396610e+00	2.802526703687576060e+00
